|[u'2014 FIFA World Cup Brazil \u2122']| |['32']| |['64']| |['171']| |['2.7']| |['52,918']|
|[u'2010 FIFA World Cup South Africa \u2122']| |['32']| |['64']| |['145']| |['2.3']| |['49,669']|
|[u'2006 FIFA World Cup Germany \u2122']| |['32']| |['64']| |['147']| |['2.3']| |['52,491']|
|[u'2002 FIFA World Cup Korea/Japan \u2122']| |['32']| |['64']| |['161']| |['2.5']| |['42,268']|
|[u'1998 FIFA World Cup France \u2122']| |['32']| |['64']| |['171']| |['2.7']| |['43,517']|
|[u'1994 FIFA World Cup USA \u2122']| |['24']| |['52']| |['141']| |['2.7']| |['68,991']|
|[u'1990 FIFA World Cup Italy \u2122']| |['24']| |['52']| |['115']| |['2.2']| |['48,388']|
|[u'1986 FIFA World Cup Mexico \u2122']| |['24']| |['52']| |['132']| |['2.5']| |['46,039']|
|[u'1982 FIFA World Cup Spain \u2122']| |['24']| |['52']| |['146']| |['2.8']| |['40,571']|
|[u'1978 FIFA World Cup Argentina \u2122']| |['16']| |['38']| |['102']| |['2.7']| |['40,678']|
|[u'1974 FIFA World Cup Germany \u2122']| |['16']| |['38']| |['97']| |['2.6']| |['49,098']|
|[u'1970 FIFA World Cup Mexico \u2122']| |['16']| |['32']| |['95']| |['3.0']| |['50,124']|
|[u'1966 FIFA World Cup England \u2122']| |['16']| |['32']| |['89']| |['2.8']| |['48,847']|
|[u'1962 FIFA World Cup Chile \u2122']| |['16']| |['32']| |['89']| |['2.8']| |['27,911']|
|[u'1958 FIFA World Cup Sweden \u2122']| |['16']| |['35']| |['126']| |['3.6']| |['23,423']|
|[u'1954 FIFA World Cup Switzerland \u2122']| |['16']| |['26']| |['140']| |['5.4']| |['29,561']|
|[u'1950 FIFA World Cup Brazil \u2122']| |['13']| |['22']| |['88']| |['4.0']| |['47,511']|
|[u'1938 FIFA World Cup France \u2122']| |['15']| |['18']| |['84']| |['4.7']| |['20,872']|
|[u'1934 FIFA World Cup Italy \u2122']| |['16']| |['17']| |['70']| |['4.1']| |['21,352']|
|[u'1930 FIFA World Cup Uruguay \u2122']| |['13']| |['18']| |['70']| |['3.9']| |['32,808']|
